StringID,KOR,ENG
Stage_Name_1,초원,
Stage_Name_2,사막,
Stage_Name_3,요정 숲,
Stage_title_1,평화롭지만 음산한 초원입니다..,
Stage_title_2,햇빛이 작렬하는 사막입니다..,
Stage_title_3,신비한 기운이 웃도는 숲입니다..,
Journey_a1,최소 개수를 만족 시키지 못하면 여정 결과에 큰 영향을 미치게 됩니다.,
Journey_t1,최소 개수 :,
Journey_t2,여정 결과 확률,
Journey_t3,대성공 확률 :,
Journey_t4,성공 확률 :,
Journey_t5,실패 확률 :,
Journey_t6,여정 출발,
Journey_result_a1,용사들이 의기양양한 모습으로 돌아옵니다!!,
Journey_result_a2,용사들이 도착했습니다.,
Journey_result_a3,용사들이 많이 지쳐 보입니다…,
Stage_day_1,1일차,
Stage_day_2,2일차,
Stage_day_3,3일차,
Stage_day_4,4일차,
Journey_state_1,위험,
Journey_state_2,부실,
Journey_state_3,보통,
Journey_state_4,순탄,
Item_name_1,고기,
Item_name_2,물,
Item_name_3,허브,
Item_name_4,목재,
Item_name_5,요리된 음식,
Fence_a1,"다음 날로 넘어갈 때, 몬스터들에게 야영지를 침략받을 확률 입니다.",
Fence_t1,울타리 단계,
Fence_t2,침략 확률,
Fence_t3,필요 목재량,
Fence_t4,소모시간(초),
Fence_b1,강화하기,
Fence_b2,취소,
Fence_b3,완료,
Fence_a2,강화 중..,
Fence_a3,강화 완료,
Invade_a1,지난 밤 몬스터 들에게 침략 당했습니다. \n일부 아이템들을 도둑질 해 갔습니다.,
Invade_a2,무사히 아침이 밝았습니다.,
Hero_name_1,레이널드,
Hero_name_2,아시스,
Hero_name_3,엘리스,
Hero_name_4,슈아,
Hero_t1,스트레스,
Hero_t2,전투력,
Hero_t3,체력,
Hero_t4,용사도,
